Reviews,Rating
Absolutely awful experience. 😠,2
Absolutely awful experience. 😒,2
This is fantastic! 😃,4
Nothing special. 😐,3
It was fine. 😴,3
I'm upset. 😔,2
This is fantastic! 😁,4
Worst day ever. 😞,1
It's okay. 😐,3
Meh. 😬,3
Nothing special. 🤷,3
It's okay. 😑,3
It was fine. 😑,3
Couldn't be happier. 🤩,5
Absolutely awful experience. 😔,1
I hate this. 😡,2
Best day ever! 👍,5
This is fantastic! 🥰,5
I'm thrilled! 😁,5
Meh. 😴,3
Everything went wrong. 😩,2
Couldn't be worse. 😒,2
Just another day. 😑,3
I'm upset. 😩,2
Neither good nor bad. 😐,3
Absolutely awful experience. 😭,2
Absolutely awful experience. 😡,1
Amazing job! 🥰,4
I'm thrilled! 😇,5
I'm so happy with the result. 😍,5
This is terrible. 😞,1
This is terrible. 😞,2
This is terrible. 😢,2
Average experience. 🤷,3
Horrible job. 😞,2
So grateful! 🥰,5
Horrible job. 😡,1
It's okay. 😬,3
So frustrating. 😤,2
I'm indifferent. 😶,3
Couldn't be happier. 😁,4
Best day ever! 😊,5
Absolutely wonderful experience. 😇,4
Amazing job! 🥰,4
Just another day. 😶,3
I'm so happy with the result. 😊,4
Neither good nor bad. 😑,3
So frustrating. 😠,1
Meh. 🤷,3
Horrible job. 😡,1
Meh. 😶,3
Best day ever! 👍,5
Everything went perfectly. 👍,5
So-so. 😑,3
Absolutely awful experience. 😭,1
Just another day. 🤔,3
I'm so disappointed. 😞,2
Everything went wrong. 😔,2
Horrible job. 😠,1
Couldn't be worse. 😞,1
So grateful! 🎉,4
Everything went perfectly. 🎉,5
Horrible job. 😩,1
Absolutely awful experience. 😠,2
It's okay. 😑,3
Just another day. 🤷,3
Meh. 😶,3
Just another day. 😶,3
Just another day. 😶,3
Nothing special. 😐,3
Couldn't be worse. 😞,1
Worst day ever. 😒,1
I hate this. 😢,1
Amazing job! 🎉,4
Absolutely awful experience. 😩,2
Absolutely wonderful experience. 🎉,4
It's okay. 😴,3
Couldn't be happier. 😊,5
So frustrating. 😞,1
This is fantastic! 👍,4
Everything went wrong. 😠,2
So frustrating. 😭,1
Worst day ever. 😩,2
I'm so happy with the result. 🥰,5
Absolutely wonderful experience. 😊,5
Average experience. 😶,3
Amazing job! 🎉,4
Meh. 😐,3
I'm thrilled! 🎉,4
Couldn't be happier. 😎,5
It's okay. 😑,3
Couldn't be worse. 😢,2
This is fantastic! 😇,5
Horrible job. 👎,1
I'm so happy with the result. 🎉,5
Average experience. 😴,3
Everything went perfectly. 😇,5
I'm so happy with the result. 🎉,5
I'm indifferent. 😐,3
Best day ever! 😊,5
Best day ever! 🤩,5
Everything went perfectly. 🎉,4
Couldn't be happier. 😎,4
I hate this. 😤,1
No strong feelings. 😑,3
This is terrible. 😒,2
Meh. 😴,3
Absolutely wonderful experience. 😁,5
I love this! 🤩,5
Absolutely wonderful experience. 😃,5
Worst day ever. 😔,2
Everything went wrong. 👎,2
Horrible job. 😔,2
Just another day. 😴,3
Best day ever! 😍,5
Amazing job! 🤩,4
I'm upset. 😢,1
I'm indifferent. 😑,3
Worst day ever. 😒,2
Best day ever! 😇,4
I'm upset. 😤,2
I love this! 😍,4
Absolutely awful experience. 👎,2
Neither good nor bad. 😴,3
Best day ever! 😃,4
Couldn't be happier. 🥰,5
It's okay. 😶,3
Amazing job! 👍,5
I'm thrilled! 👍,4
It was fine. 😬,3
Neither good nor bad. 🤔,3
I hate this. 😢,1
Couldn't be happier. 😎,4
Everything went perfectly. 😎,4
Amazing job! 🥰,5
No strong feelings. 🤷,3
I'm upset. 😤,2
Absolutely wonderful experience. 😎,5
Couldn't be happier. 😎,5
Absolutely wonderful experience. 😇,4
I'm thrilled! 👍,5
I'm so happy with the result. 🥰,5
So grateful! 🎉,5
I'm indifferent. 😐,3
This is terrible. 😡,1
Nothing special. 😑,3
Meh. 😑,3
Everything went perfectly. 😊,4
So grateful! 🤩,4
Everything went perfectly. 👍,4
Couldn't be worse. 😡,2
So-so. 😬,3
Worst day ever. 😔,1
I'm so disappointed. 😭,2
Absolutely awful experience. 👎,2
Amazing job! 🤩,5
It was fine. 😐,3
Everything went wrong. 😤,2
I'm indifferent. 🤷,3
I'm indifferent. 😶,3
Amazing job! 😎,5
Horrible job. 😤,2
Worst day ever. 😭,2
Just another day. 😶,3
I'm indifferent. 😶,3
Neither good nor bad. 😶,3
Worst day ever. 😡,2
Absolutely wonderful experience. 👍,4
Everything went perfectly. 🤩,5
Couldn't be worse. 😞,1
No strong feelings. 🤷,3
Neither good nor bad. 😐,3
Couldn't be worse. 😞,1
Couldn't be happier. 🥰,5
Couldn't be worse. 😠,2
This is fantastic! 🎉,4
Average experience. 😐,3
Meh. 😶,3
I'm indifferent. 😑,3
It's okay. 😬,3
So-so. 😐,3
Amazing job! 😊,5
It was fine. 😴,3
So frustrating. 😞,2
So frustrating. 👎,2
It was fine. 🤔,3
I'm so disappointed. 😤,2
Couldn't be worse. 😩,2
I'm so disappointed. 😤,2
I'm upset. 😢,2
I'm thrilled! 😎,5
Best day ever! 😃,4
Absolutely awful experience. 😞,1
Everything went wrong. 👎,2
Neither good nor bad. 😬,3
Absolutely awful experience. 😭,1
So-so. 😑,3
I'm so happy with the result. 🤩,5
No strong feelings. 🤔,3
Average experience. 😴,3
Average experience. 😶,3
No strong feelings. 😑,3
It was fine. 😴,3
Couldn't be worse. 😞,1
I'm indifferent. 🤷,3
Horrible job. 😞,2
Couldn't be happier. 😇,5
I love this! 👍,5
Neither good nor bad. 🤷,3
Just another day. 😐,3
Meh. 😬,3
Everything went perfectly. 😎,4
I'm indifferent. 😶,3
No strong feelings. 🤷,3
This is fantastic! 😎,4
I'm so disappointed. 😠,1
I'm so disappointed. 😞,1
This is terrible. 😔,2
Nothing special. 😶,3
So frustrating. 😩,1
Nothing special. 😐,3
Nothing special. 😐,3
I love this! 😊,5
Average experience. 😶,3
So frustrating. 😩,2
No strong feelings. 😴,3
Everything went perfectly. 😃,5
Nothing special. 😶,3
Just another day. 🤷,3
Everything went wrong. 😡,2
Nothing special. 😬,3
Everything went perfectly. 😇,4
Best day ever! 😁,4
I love this! 😎,4
Amazing job! 😎,5
I hate this. 😤,2
Worst day ever. 😡,2
Nothing special. 😐,3
So grateful! 🥰,4
I'm thrilled! 😇,4
I hate this. 😔,2
I'm thrilled! 😇,4
Absolutely awful experience. 😞,1
I'm so happy with the result. 😇,4
Meh. 😶,3
Best day ever! 😍,4
Couldn't be worse. 😢,2
This is terrible. 😢,2
Horrible job. 😒,2
Everything went perfectly. 🥰,4
This is terrible. 😞,2
It's okay. 😐,3
No strong feelings. 🤔,3
I'm so happy with the result. 😃,4
Absolutely awful experience. 😡,1
Worst day ever. 😤,1
I love this! 🤩,4
I'm so happy with the result. 👍,5
Average experience. 🤷,3
Everything went perfectly. 😍,5
Just another day. 😶,3
Everything went wrong. 😠,2
Amazing job! 😇,4
Neither good nor bad. 😑,3
Everything went perfectly. 😊,5
So-so. 😶,3
Neither good nor bad. 😶,3
Just another day. 😶,3
I'm thrilled! 😇,5
It's okay. 😬,3
This is fantastic! 😇,4
Worst day ever. 😩,1
Couldn't be happier. 😃,5
Neither good nor bad. 😐,3
Couldn't be worse. 😭,2
Absolutely wonderful experience. 😊,4
I'm so happy with the result. 🥰,5
I'm so disappointed. 😤,1
Absolutely awful experience. 👎,1
Horrible job. 😤,2
Amazing job! 😁,5
Absolutely wonderful experience. 🤩,4
Average experience. 😬,3
It's okay. 😶,3
I love this! 😁,4
Everything went perfectly. 🥰,4
Meh. 😴,3
So-so. 😐,3
Everything went perfectly. 🤩,5
So grateful! 😇,4
This is fantastic! 😍,4
It's okay. 😶,3
Everything went perfectly. 😃,4
Absolutely awful experience. 👎,1
I'm so disappointed. 😠,2
So grateful! 😊,5
So grateful! 😁,5
Worst day ever. 😔,1
Everything went wrong. 😠,2
I hate this. 😡,1
I'm thrilled! 😇,5
Average experience. 🤷,3
Nothing special. 😴,3
Couldn't be worse. 😤,2
No strong feelings. 😶,3
I'm so disappointed. 👎,2
Absolutely awful experience. 😠,2
Best day ever! 😍,4
Horrible job. 👎,1
Best day ever! 😇,4
Just another day. 😶,3
Everything went wrong. 😠,2
I'm upset. 😡,2
It was fine. 😐,3
This is terrible. 😢,1
Best day ever! 😃,5
Nothing special. 😶,3
It's okay. 😴,3
I'm so happy with the result. 😊,4
This is terrible. 😩,2
Meh. 😐,3
Absolutely awful experience. 😔,1
Average experience. 😑,3
Just another day. 😐,3
So frustrating. 😤,2
Average experience. 😶,3
Average experience. 😶,3
So-so. 😴,3
Nothing special. 😐,3
I'm so happy with the result. 😎,5
Everything went wrong. 😭,1
So grateful! 😊,5
Nothing special. 😬,3
I'm upset. 😭,2
I'm so happy with the result. 😃,4
Absolutely awful experience. 😒,1
Neither good nor bad. 😴,3
Worst day ever. 😭,1
This is fantastic! 😎,4
It was fine. 😐,3
Couldn't be worse. 😩,2
Meh. 🤷,3
I'm so disappointed. 😞,2
Amazing job! 😇,5
Horrible job. 😡,1
This is fantastic! 😎,4
I'm thrilled! 🥰,5
So grateful! 😍,4
This is terrible. 👎,2
Worst day ever. 👎,2
Horrible job. 😡,2
I'm upset. 👎,1
Average experience. 😶,3
Amazing job! 😃,4
Neither good nor bad. 😐,3
I hate this. 😔,2
No strong feelings. 😐,3
I'm indifferent. 😐,3
Average experience. 😐,3
Couldn't be happier. 😁,4
Everything went wrong. 😠,2
It was fine. 🤔,3
Average experience. 😶,3
I love this! 🥰,5
I love this! 😍,4
I love this! 🎉,5
Just another day. 😐,3
Horrible job. 😠,2
Nothing special. 😑,3
Everything went perfectly. 🥰,5
So-so. 😐,3
Everything went perfectly. 🎉,4
Neither good nor bad. 😴,3
Nothing special. 😶,3
I hate this. 😡,1
I'm upset. 😢,1
It's okay. 😶,3
Horrible job. 😔,2
So frustrating. 😢,1
Neither good nor bad. 😴,3
Worst day ever. 😢,1
Couldn't be happier. 😎,5
I'm upset. 😔,1
It was fine. 😐,3
No strong feelings. 😴,3
I'm so happy with the result. 😍,4
So grateful! 😎,5
I love this! 😍,4
Amazing job! 😊,4
So grateful! 😇,4
I love this! 😁,4
Best day ever! 😃,5
It was fine. 😴,3
It's okay. 🤷,3
It's okay. 😑,3
I'm thrilled! 😁,4
Horrible job. 👎,2
This is fantastic! 😇,5
So-so. 😬,3
I'm indifferent. 😐,3
This is fantastic! 🎉,4
I'm upset. 😒,1
Horrible job. 😠,2
Horrible job. 😡,2
I love this! 🥰,4
I love this! 👍,5
So frustrating. 😒,1
Best day ever! 🥰,4
I'm upset. 😤,1
I'm upset. 😭,2
Everything went perfectly. 👍,5
This is fantastic! 😍,5
It was fine. 😑,3
Absolutely wonderful experience. 😎,5
Absolutely awful experience. 😔,1
Average experience. 😑,3
Couldn't be happier. 🥰,4
Worst day ever. 😡,1
I'm upset. 😢,1
It's okay. 😐,3
Absolutely awful experience. 😡,2
It's okay. 😐,3
This is fantastic! 😇,4
This is fantastic! 👍,4
Absolutely wonderful experience. 🤩,4
So-so. 🤷,3
I'm so disappointed. 😩,1
Best day ever! 😁,4
So frustrating. 😡,1
Worst day ever. 😞,1
I love this! 😎,5
Horrible job. 😔,1
I'm thrilled! 🎉,4
I love this! 🥰,5
Worst day ever. 😤,2
I'm so happy with the result. 😎,5
So frustrating. 😢,1
Couldn't be happier. 😇,5
Everything went wrong. 😤,2
Everything went perfectly. 😇,5
It was fine. 😶,3
Absolutely wonderful experience. 😍,4
I'm indifferent. 🤷,3
Absolutely wonderful experience. 😊,4
Couldn't be worse. 😢,1
Couldn't be happier. 😎,4
I'm so disappointed. 😔,2
I'm indifferent. 🤷,3
I hate this. 😭,1
I love this! 🥰,5
So grateful! 😃,4
I love this! 😇,4
This is terrible. 😔,1
This is fantastic! 😁,5
This is terrible. 😔,2
Absolutely wonderful experience. 👍,5
I'm upset. 😡,2
Couldn't be worse. 😢,1
So frustrating. 😞,1
Best day ever! 👍,4
So-so. 😐,3
Worst day ever. 😞,1
So-so. 😬,3
Nothing special. 😑,3
I'm so disappointed. 😢,2
This is fantastic! 🤩,5
I'm thrilled! 😎,5
Horrible job. 😒,2
Absolutely awful experience. 😒,2
Everything went wrong. 👎,2
This is terrible. 😤,1
Average experience. 😶,3
Absolutely awful experience. 👎,2
Couldn't be worse. 👎,2
I hate this. 👎,2
Meh. 😑,3
Just another day. 😐,3
So frustrating. 😡,2
I love this! 😁,4
I love this! 😊,5
This is fantastic! 😁,5
I'm upset. 😔,2
I hate this. 😤,2
So-so. 😬,3
Absolutely awful experience. 😭,1
I'm upset. 😞,2
Best day ever! 😇,5
This is terrible. 😭,2
This is terrible. 😒,1
This is fantastic! 🤩,4
Couldn't be worse. 👎,2
I'm thrilled! 🤩,4
Horrible job. 😒,2
Meh. 😬,3
I'm upset. 😤,1
I'm so disappointed. 😢,1
I'm thrilled! 🥰,4
Absolutely awful experience. 😔,2
I'm indifferent. 🤔,3
Just another day. 😬,3
Horrible job. 😤,1
Absolutely wonderful experience. 😃,5
It's okay. 😴,3
It's okay. 😬,3
I hate this. 👎,1
Just another day. 😐,3
Couldn't be happier. 😎,5
This is terrible. 😩,1
Just another day. 😴,3
I'm indifferent. 😐,3
I'm so happy with the result. 🤩,4
I love this! 😁,4
Couldn't be worse. 😒,2
So grateful! 😊,4
So frustrating. 😢,1
No strong feelings. 😐,3
So frustrating. 😩,1
Absolutely awful experience. 😢,1
Average experience. 😑,3
Everything went perfectly. 🤩,4
Everything went wrong. 😠,2
I hate this. 😞,2
It's okay. 😬,3
Absolutely awful experience. 😠,1
So frustrating. 😭,1
Amazing job! 😇,4
Worst day ever. 😞,1
Absolutely awful experience. 😞,1
Absolutely awful experience. 😞,2
Couldn't be happier. 🥰,5
Average experience. 😴,3
Absolutely awful experience. 👎,1
No strong feelings. 😶,3
This is fantastic! 😇,5
Meh. 😑,3
Horrible job. 😭,1
I love this! 😇,4
So frustrating. 😔,1
So frustrating. 😩,2
Everything went wrong. 😩,2
Best day ever! 😇,5
Couldn't be worse. 😡,2
Amazing job! 👍,5
This is fantastic! 🤩,4
I love this! 🥰,5
Meh. 😑,3
Absolutely wonderful experience. 😎,4
Couldn't be happier. 😃,4
I'm thrilled! 😇,5
It was fine. 🤷,3
Amazing job! 😁,5
It was fine. 😐,3
Nothing special. 😴,3
I'm upset. 😔,2
Amazing job! 🤩,4
Absolutely awful experience. 😢,1
It's okay. 😶,3
Nothing special. 😶,3
I'm thrilled! 😃,5
It's okay. 😑,3
So frustrating. 😔,1
So-so. 😐,3
So grateful! 😊,4
Couldn't be worse. 👎,2
Everything went wrong. 😩,1
This is fantastic! 😍,4
Best day ever! 😊,4
Neither good nor bad. 😴,3
Just another day. 😐,3
Couldn't be worse. 😭,1
So grateful! 🥰,5
So frustrating. 👎,1
Best day ever! 😇,5
Neither good nor bad. 😐,3
No strong feelings. 😶,3
Worst day ever. 😞,2
It's okay. 😑,3
Average experience. 🤷,3
Absolutely wonderful experience. 👍,4
Couldn't be worse. 😤,2
Worst day ever. 😡,1
This is fantastic! 🤩,5
So grateful! 😎,4
Everything went perfectly. 😇,4
I'm thrilled! 👍,5
So frustrating. 😡,1
I love this! 😇,5
Best day ever! 🥰,5
Nothing special. 😬,3
Neither good nor bad. 😑,3
I'm so disappointed. 😠,1
I love this! 😃,5
Average experience. 😴,3
I'm so disappointed. 😢,1
This is fantastic! 😇,5
Just another day. 😐,3
I love this! 😎,5
This is terrible. 😩,1
Just another day. 🤷,3
I'm indifferent. 😐,3
Neither good nor bad. 😶,3
Meh. 😐,3
I'm so disappointed. 😡,2
Neither good nor bad. 😑,3
Nothing special. 😐,3
Meh. 😶,3
Couldn't be happier. 😊,5
Worst day ever. 😠,1
Best day ever! 😃,5
I love this! 👍,4
I love this! 🎉,5
Just another day. 😑,3
I'm upset. 😩,1
This is terrible. 👎,1
Couldn't be happier. 😁,5
Just another day. 😶,3
Best day ever! 🎉,4
I'm thrilled! 😍,4
Horrible job. 😒,2
Everything went perfectly. 😇,4
I'm thrilled! 😎,5
Nothing special. 😶,3
Neither good nor bad. 🤷,3
It's okay. 😬,3
Couldn't be worse. 👎,2
Meh. 😐,3
Couldn't be happier. 😎,4
Meh. 😶,3
I'm upset. 😠,2
I hate this. 😤,1
I'm so happy with the result. 👍,5
I'm indifferent. 😴,3
It was fine. 😶,3
It's okay. 😴,3
So frustrating. 😩,1
I'm upset. 😩,1
Nothing special. 😬,3
It's okay. 😶,3
Average experience. 😑,3
Meh. 😬,3
Average experience. 🤷,3
Everything went wrong. 😠,1
Absolutely wonderful experience. 🥰,5
Neither good nor bad. 😐,3
I love this! 😍,4
Couldn't be happier. 👍,5
Just another day. 😬,3
Amazing job! 😇,5
This is terrible. 😠,2
It's okay. 😑,3
This is terrible. 👎,2
Absolutely wonderful experience. 😃,5
So frustrating. 😠,1
No strong feelings. 😐,3
Everything went perfectly. 🥰,5
Average experience. 😐,3
I'm indifferent. 😴,3
Everything went perfectly. 😎,4
No strong feelings. 🤷,3
So-so. 🤔,3
Horrible job. 😔,2
I love this! 😍,4
I'm indifferent. 🤔,3
I'm so disappointed. 😢,2
Absolutely awful experience. 😡,2
I'm upset. 😒,1
Worst day ever. 😭,1
Nothing special. 😐,3
Neither good nor bad. 😴,3
I'm upset. 👎,1
I'm so happy with the result. 😁,5
Couldn't be happier. 😃,4
Meh. 🤷,3
Best day ever! 😊,4
Nothing special. 😶,3
Horrible job. 😞,2
Everything went perfectly. 😁,5
It's okay. 😐,3
So grateful! 😁,5
Absolutely wonderful experience. 🤩,5
I hate this. 😒,1
So grateful! 😎,5
Horrible job. 😔,1
I'm so happy with the result. 😃,4
I'm upset. 😭,1
It's okay. 🤷,3
Meh. 😐,3
I'm upset. 😩,2
Couldn't be happier. 🎉,5
Nothing special. 😑,3
Amazing job! 👍,5
Absolutely wonderful experience. 🥰,5
It's okay. 😬,3
Absolutely wonderful experience. 😁,4
I'm so disappointed. 😤,2
Just another day. 😬,3
Couldn't be happier. 😇,4
I hate this. 👎,2
I love this! 😍,4
No strong feelings. 😴,3
So grateful! 🥰,4
Meh. 🤷,3
Just another day. 😶,3
I'm so disappointed. 😤,1
No strong feelings. 🤔,3
Couldn't be worse. 😒,1
Neither good nor bad. 😑,3
Meh. 😑,3
This is terrible. 😡,1
No strong feelings. 😐,3
This is fantastic! 😊,5
Nothing special. 😐,3
Nothing special. 😑,3
So grateful! 😍,5
This is terrible. 😠,1
So grateful! 😊,4
So grateful! 😁,4
Neither good nor bad. 😶,3
Absolutely wonderful experience. 😇,5
Everything went wrong. 😠,2
I hate this. 😡,2
Absolutely wonderful experience. 😁,5
I hate this. 😤,2
Absolutely awful experience. 😭,1
So grateful! 🥰,4
It was fine. 😴,3
I hate this. 😒,1
So-so. 😴,3
I love this! 😇,4
It was fine. 😶,3
This is terrible. 😠,2
This is fantastic! 👍,5
I hate this. 😡,1
Everything went perfectly. 😍,4
Everything went wrong. 😡,1
So grateful! 🥰,4
Neither good nor bad. 😶,3
Best day ever! 😃,5
It was fine. 😶,3
Horrible job. 😩,1
It was fine. 😴,3
Nothing special. 😐,3
It's okay. 🤷,3
Meh. 😐,3
Average experience. 🤔,3
So frustrating. 👎,1
Couldn't be happier. 😍,5
Average experience. 😑,3
Couldn't be happier. 😇,4
Absolutely wonderful experience. 😎,4
Amazing job! 😊,5
I hate this. 😩,1
I'm so happy with the result. 😇,5
Neither good nor bad. 😴,3
I hate this. 😠,2
It's okay. 😬,3
This is fantastic! 😃,4
This is fantastic! 😃,5
I'm upset. 👎,1
Meh. 😶,3
Absolutely wonderful experience. 🎉,5
It's okay. 😬,3
This is terrible. 😔,2
I'm indifferent. 😐,3
I'm so happy with the result. 😊,5
Just another day. 😐,3
Absolutely awful experience. 😞,1
I'm so disappointed. 😡,2
Best day ever! 🤩,4
Everything went perfectly. 🥰,5
Everything went wrong. 😠,2
Horrible job. 😡,1
So frustrating. 😢,2
Worst day ever. 👎,1
Everything went wrong. 😡,1
Worst day ever. 👎,1
This is terrible. 😩,2
Best day ever! 👍,5
This is terrible. 😞,1
This is terrible. 😞,1
This is terrible. 😢,2
It was fine. 😐,3
So-so. 😬,3
This is terrible. 😠,1
No strong feelings. 😴,3
This is terrible. 😔,2
I'm upset. 😩,2
So frustrating. 😒,2
This is fantastic! 😇,5
I'm upset. 😡,1
This is terrible. 😠,1
Meh. 🤷,3
Just another day. 😐,3
Meh. 🤔,3
This is fantastic! 👍,4
Absolutely wonderful experience. 😃,4
Couldn't be worse. 😠,1
It's okay. 😴,3
I hate this. 😭,2
Couldn't be happier. 😍,4
Amazing job! 🎉,4
I'm thrilled! 😇,4
Worst day ever. 😭,1
I'm thrilled! 😇,4
This is fantastic! 😎,5
It's okay. 😑,3
No strong feelings. 😬,3
I love this! 🥰,4
I love this! 😃,4
Nothing special. 🤷,3
I'm so disappointed. 😤,2
Couldn't be worse. 😠,2
So-so. 🤔,3
I hate this. 😔,1
Meh. 😶,3
Meh. 🤷,3
Couldn't be happier. 😊,5
Just another day. 🤷,3
I'm upset. 😩,1
Couldn't be happier. 🎉,5
Absolutely wonderful experience. 🤩,5
So frustrating. 😤,1
No strong feelings. 😬,3
So-so. 😐,3
I hate this. 😢,1
Everything went wrong. 😞,1
I'm thrilled! 😃,4
Meh. 😬,3
So frustrating. 😢,1
I'm indifferent. 😐,3
Amazing job! 😃,5
Couldn't be worse. 😩,1
So grateful! 😎,5
I hate this. 😞,2
Best day ever! 🥰,4
I'm so disappointed. 😞,1
Average experience. 😑,3
Average experience. 😑,3
Absolutely wonderful experience. 😍,4
It was fine. 😶,3
Absolutely wonderful experience. 😁,5
Nothing special. 😑,3
Best day ever! 😇,4
Horrible job. 😔,2
Everything went perfectly. 😁,4
I'm so happy with the result. 😇,4
Best day ever! 😍,4
So-so. 🤷,3
Amazing job! 😇,5
Meh. 😑,3
This is fantastic! 🤩,4
So grateful! 🥰,5
I'm thrilled! 😍,5
So grateful! 😎,4
Just another day. 😬,3
I'm thrilled! 😇,4
Everything went perfectly. 🎉,5
It's okay. 😴,3
Everything went wrong. 👎,1
Meh. 😐,3
Couldn't be happier. 🎉,4
Absolutely wonderful experience. 🎉,5
I'm indifferent. 😑,3
Meh. 😶,3
Nothing special. 😶,3
I'm upset. 😤,2
Nothing special. 🤷,3
So frustrating. 😭,2
Worst day ever. 😠,2
Horrible job. 😩,2
I'm indifferent. 🤔,3
So-so. 😐,3
This is fantastic! 🤩,4
I'm so disappointed. 😤,1
No strong feelings. 😐,3
Worst day ever. 😢,1
Amazing job! 😎,5
I'm so disappointed. 👎,2
Best day ever! 😃,4
Everything went perfectly. 😁,5
It's okay. 😑,3
Horrible job. 😒,2
Everything went wrong. 😞,2
I hate this. 👎,2
This is terrible. 😡,1
It's okay. 😴,3
This is fantastic! 🎉,5
Absolutely wonderful experience. 👍,5
Everything went perfectly. 🎉,5
Neither good nor bad. 😑,3
Just another day. 🤔,3
I'm upset. 😒,1
Meh. 😑,3
Average experience. 😐,3
Amazing job! 🥰,5
I'm indifferent. 😑,3
I love this! 😊,4
Average experience. 😶,3
Nothing special. 😬,3
Absolutely awful experience. 😠,1
I'm upset. 👎,1
Couldn't be worse. 😞,1
Couldn't be worse. 😢,1
Amazing job! 👍,4
So frustrating. 😠,1
Average experience. 😶,3
Neither good nor bad. 😬,3
Best day ever! 🥰,5
Everything went perfectly. 😁,5
Absolutely awful experience. 😭,1
I'm indifferent. 😴,3
Everything went wrong. 😡,1
I'm so disappointed. 😠,1
Absolutely wonderful experience. 🎉,4
Couldn't be happier. 😃,5
Meh. 😶,3
So-so. 🤔,3
This is fantastic! 😇,5
I'm upset. 😔,1
Absolutely wonderful experience. 😍,4
Couldn't be happier. 👍,4
I'm indifferent. 😴,3
I love this! 😊,4
I love this! 😁,4
I'm so disappointed. 😠,2
Worst day ever. 😠,1
I'm so disappointed. 👎,2
So frustrating. 👎,1
Amazing job! 😍,4
Nothing special. 😑,3
This is terrible. 😤,1
Neither good nor bad. 😶,3
No strong feelings. 😴,3
Couldn't be happier. 🎉,4
I hate this. 😢,1
Absolutely wonderful experience. 👍,5
I'm indifferent. 😴,3
So-so. 😬,3
Everything went wrong. 😡,2
Absolutely wonderful experience. 😊,4
Amazing job! 🤩,4
Horrible job. 😞,1
This is terrible. 😠,1
Everything went wrong. 😞,1
I love this! 😇,5
I'm upset. 😒,2
This is terrible. 😭,2
Just another day. 😑,3
Couldn't be worse. 😠,2
Worst day ever. 😤,1
Worst day ever. 😭,2
I'm so happy with the result. 🤩,5
Neither good nor bad. 😐,3
Average experience. 😐,3
I'm thrilled! 🤩,5
Meh. 😑,3
So grateful! 😎,5
Neither good nor bad. 😬,3
This is terrible. 😔,2
Worst day ever. 😢,2
Meh. 🤔,3
So-so. 🤷,3
Couldn't be worse. 😢,2
I'm indifferent. 😶,3
I hate this. 😞,1
Everything went perfectly. 😁,4
Absolutely wonderful experience. 🥰,5
So grateful! 🤩,4
So-so. 😐,3
Neither good nor bad. 🤷,3
Everything went wrong. 😤,1
I hate this. 👎,2
I love this! 😁,5
This is terrible. 😤,1
No strong feelings. 🤔,3
Couldn't be worse. 😒,1
Couldn't be happier. 😎,4
Couldn't be happier. 😇,4
I'm thrilled! 😃,5
I'm so happy with the result. 🎉,5
Couldn't be worse. 😩,2
Average experience. 😬,3
So-so. 😴,3
This is fantastic! 😍,4
Average experience. 😐,3
Neither good nor bad. 😑,3
So frustrating. 😤,2
Amazing job! 🥰,5
I'm so disappointed. 😔,2
I'm thrilled! 👍,4
Couldn't be happier. 🥰,4
This is terrible. 😤,2
It's okay. 😑,3
Everything went wrong. 👎,1
So grateful! 🥰,5
Couldn't be happier. 🥰,4
I hate this. 😤,2
Nothing special. 😶,3
Amazing job! 👍,5
I'm upset. 😤,1
No strong feelings. 😐,3
Just another day. 😴,3
I'm indifferent. 😑,3
This is terrible. 👎,1
I'm so disappointed. 😠,2
Absolutely awful experience. 😔,1
It was fine. 😐,3
Just another day. 😑,3
I'm thrilled! 😊,5
I'm so disappointed. 😠,1
So-so. 😶,3
Absolutely wonderful experience. 🤩,4
Meh. 😑,3
Worst day ever. 😔,2
No strong feelings. 🤷,3
It's okay. 😴,3
I'm thrilled! 😃,4
This is terrible. 😭,2
Horrible job. 😠,2
Average experience. 🤷,3
It's okay. 😴,3
It's okay. 😐,3
Amazing job! 🎉,5
This is fantastic! 🎉,5
I'm so disappointed. 😠,2
This is fantastic! 😇,5
Everything went wrong. 😢,2
Absolutely awful experience. 👎,1
This is fantastic! 🥰,4
This is terrible. 😞,2
Best day ever! 👍,4
Just another day. 🤷,3
I love this! 😁,4
Everything went perfectly. 🥰,5
This is terrible. 😔,2
Nothing special. 😑,3
This is terrible. 👎,2
Horrible job. 😢,2
I love this! 😊,5
Worst day ever. 😞,1
So-so. 🤔,3
This is terrible. 😞,1
Best day ever! 👍,4
This is terrible. 😞,1
Horrible job. 😔,1
I'm so disappointed. 😒,1
Amazing job! 👍,4
Absolutely awful experience. 😒,2
Couldn't be worse. 😡,2
So grateful! 😃,4
Just another day. 😶,3
Meh. 🤷,3
Neither good nor bad. 😴,3
No strong feelings. 🤔,3
Absolutely wonderful experience. 😃,4
This is fantastic! 👍,5
Amazing job! 😎,4
So grateful! 🥰,4
So grateful! 😁,4
So-so. 😴,3
It's okay. 😐,3
Couldn't be happier. 😊,5
Amazing job! 😍,5
It was fine. 😶,3
This is terrible. 😭,2
It was fine. 🤔,3
Couldn't be worse. 😭,2
It's okay. 😐,3
I love this! 🤩,5
I'm so disappointed. 😒,2
Amazing job! 🎉,4
No strong feelings. 😶,3
Average experience. 🤔,3
No strong feelings. 😐,3
It's okay. 😬,3
Best day ever! 🥰,4
I'm indifferent. 😶,3
